編號,學號,,學校班級,school,,,,國文,英文,數A,數B,社會,自然,英聽,入取管道
1,1500013,,新莊302,國立臺灣師範大學 歷史學系,,,,11(均+1),12(前),7(均+1),12(前+1),13(頂),9(後+2),B,分科
2,1500022,,海山309,國立臺灣師範大學 英文學系,,,,13(頂),14(頂+1),7(均+1),12(前+1),13(頂),6(底+1),A,分科
3,1500026,,林口303,大同大學 事業經營學系,,,,10(均),9(均+1),X,3(底),10(後+1),X,C,申請
4,1500027,,北一二儉,國立中興大學 獸醫學系,,,,14(頂+1),14(頂+1),8(前),X,11(均),13(前+1),A,分科
5,1500029,,中山302,國立成功大學 化學系,,,,12(前),12(前),5(後+1),14(頂+1),13(頂),11(均+1),B,分科
6,1500030,,新莊310,國立臺灣科技大學 不分系,,,,12(前),13(頂),9(前+1),X,X,15(頂+1),,申請
7,1500031,,新莊318,國立嘉義大學 微生物免疫與生物藥學系,,,,13(頂),10(均+2),3(底),X,X,12(前),B,申請
8,1500032,,新莊318,輔仁大學 物理系,,,,10(均),7(後+2),6(均),10(前-1),10(後+1),12(前),C,申請
9,1500033,,海山309,國立嘉義大學 食品科學系,,,,11(均+1),10(均+2),9(前+1),14(頂+1),10(後+1),12(前),,申請
10,1500036,,師附1516,國立台灣大學 心理學系,,,,13(頂),13(頂),11(頂+1),14(頂+1),15(頂+2),13(前+1),A,分科
11,1500042,,新莊317,繁星3% 臺北醫學大學 呼吸治療學系,,,,12(前),12(前),9(前+1),11(前),11(均),13(前+1),A,繁星
12,1500054,,林口312,亞東科技大學 機械系,,,,8(底+1),6(後+1),6(均),6(後+2),6(X),8(後+1),,申請
13,1500055,,新莊315,中國醫藥大學 公衛系,,,,12(前),7(後+2),7(均+1),11(前),11(均),11(均+1),C,申請
14,1500060,,三重三律,臺灣警察專科學校,,,,10(均),4(底),5(後+1),8(均),9(後),10(均),C,考試
15,1500061,,丹鳳307,銘傳大學 應用中文學系,,,,11(均+1),4(底),3(底),6(後+2),11(均),7(後),C,申請
16,1500064,,三重三仁,淡江大學 歷史學系(亞東),,,,10(均),5(後),X,4(後),14(頂+1),X,C,申請
17,1500066,,新莊317,輔仁大學 兒童與家庭學系,,,,11(均+1),10(均+2),2(X),10(均+2),10(後+1),9(後+2),,申請
18,1500069,,新莊305,,,,,8(底+1),5(後),4(後),5(後+1),12(前),X,C,好慘
19,1500070,,海山309,實踐大學 家庭研究與兒童發展學系,,,,12(前),8(均),4(後),9(均+1),12(前),10(均),B,申請
20,1500078,,華僑三忠,大同大學 資經系,,,,9(後),9(均+1),6(均),9(均+1),X,10(均),B,申請
21,1500079,,三民301,大同大學 事業經營學系,,,,8(底+1),9(均+1),X,4(後),11(均),X,C,申請
22,1500080,,泰山三乙,佛光大學 應用經濟系,,,,8(底+1),4(底),X,2(X),11(均),X,,申請
23,1500082,,三重三善,大同大學 化工學程與生物科技學系,,,,8(底+1),7(後+2),3(底),8(均),8(底+1),10(均),C,申請
