Date,SO2,CO,CO2,O3,PM10,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
Jul-84,85.3,0.99,0,0,77,0,26.84,17.45,8.98,0,0,0,0,0,68.46
Aug-84,96.8,1.13,0,12,79,0,23.3,18.64,0,0,0,0,0,0,67.75
Sep-84,118.1,1.16,0,18.8,75,0,30.23,15.31,18.36,0,0,0,0,0,73.83
Oct-84,112.5,1.23,0,0,98,0,35.56,12.73,22.31,0,0,0,0,0,63.96
Nov-84,96.5,1.15,0,20.8,63,0,38.02,15,22.51,0,0,0,0,0,62.99
Dec-84,86.3,1.29,0,18,75,0,44.89,19.82,25.18,0,0,0,0,0,63.42
Jan-85,85.6,1.13,0,17.7,63,0,80.16,36.76,42.95,0,0,0,0,0,64.29
Feb-85,100.7,1.42,0,23.2,72,0,59.05,25.16,33.01,0,0,0,0,0,57.22
Mar-85,82.3,1.12,0,25.9,71,0,22.22,0,13.83,0,0,0,0,0,62.43
May-85,95.2,1.2,0,18,71,0,35.57,14.86,20.69,0,0,0,0,0,72.41
Jun-85,74.9,1.23,0,21,47,0,26.44,12.41,14.43,0,0,0,0,0,72.75
Jul-85,59,1.01,0,10.4,88,0,26.52,15.13,11.21,0,0,0,0,0,69.68
Aug-85,81.3,0.99,0,0,80,0,31.5,17.76,13.23,0,0,0,0,0,75.67
Sep-85,100.5,1.37,0,0,80,0,44.84,22.67,21.68,0,0,0,0,0,78.33
Oct-85,101.1,1.4,0,23.3,98,0,43.59,18.91,24.14,0,0,0,0,0,76.59
Nov-85,74.6,1.45,0,24.6,109,0,54.46,22.03,31.94,0,0,0,0,0,70.22
Mar-86,52.3,1.52,0,15.3,83,0,56.2,29.02,26.67,0,0,0,0,0,0
Apr-86,44.2,1.44,0,14,93,0,46.77,23.22,23.9,0,0,0,0,0,0
May-86,41.7,1.53,0,10.1,71,0,23.5,12.18,10.88,0,0,0,0,0,89.13
Jun-86,34.5,1.1,0,0,57,0,19.48,9.99,8.98,0,0,0,0,0,0
