NO,Gender,DateOfBirth,Race,FaEdu,MomEdu,FaexpEdu,CoexpEdu,Income,Grade,Level,Sportyear,ExpectEdu,a1,a2,a3,a4,a5,a6,a7,b1,b2,b3,b4,b5,b6,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,pl,al,ss,tr,blue,achievement,alienance
1,1,84,1,4,2,2,2,3,75,5,8,2,3,4,4,2,2,2,4,5,5,5,2,2,2,3,2,2,2,4,4,4,1,1,1,3.666666667,2.5,5,2,2.25,4,1
2,1,84,1,3,2,2,2,3,55,2,8,2,3,5,5,2,3,3,5,3,4,3,2,2,2,4,3,3,3,3,1,4,3,3,1,4.333333333,3.25,3.333333333,2,3.25,2.666666667,2.333333333
3,1,84,1,1,2,2,2,2,65,4,6,2,4,4,4,4,3,3,4,4,4,4,2,2,2,2,2,3,3,3,3,3,2,2,2,4,3.5,4,2,2.5,3,2
4,1,83,1,2,2,2,2,7,60,2,4,2,3,3,4,2,2,3,3,3,3,3,3,3,3,2,1,2,2,2,1,3,1,1,1,3.333333333,2.5,3,3,1.75,2,1
5,1,84,3,4,4,2,2,5,50,3,10,2,3,3,5,2,5,5,5,3,4,3,4,3,3,3,4,4,3,3,1,2,2,3,2,3.666666667,4.25,3.333333333,3.333333333,3.5,2,2.333333333
6,1,84,3,4,3,2,2,8,75,2,3,2,2,4,4,2,4,5,5,4,4,4,3,2,2,3,3,3,3,2,2,3,1,1,2,3.333333333,4,4,2.333333333,3,2.333333333,1.333333333
7,1,84,1,2,3,2,2,1,60,2,3,2,4,4,4,2,5,5,4,4,4,4,3,2,2,3,3,3,3,2,2,3,1,1,2,4,4,4,2.333333333,3,2.333333333,1.333333333
8,1,84,1,3,2,2,2,4,68,2,6,2,3,4,4,2,3,3,4,3,4,3,3,3,3,2,2,2,2,3,2,2,3,2,2,3.666666667,3,3.333333333,3,2,2.333333333,2.333333333
9,1,83,1,2,2,2,2,2,62,3,6,2,3,5,5,2,2,2,5,4,4,4,2,1,1,1,1,1,1,4,1,4,1,1,1,4.333333333,2.75,4,1.333333333,1,3,1
10,1,84,2,3,3,2,2,1,88,5,8,4,3,3,3,2,2,3,5,4,4,5,2,2,1,3,3,3,3,3,2,2,2,2,2,3,3,4.333333333,1.666666667,3,2.333333333,2
11,1,84,1,2,2,1,2,2,70,3,3,2,4,4,3,1,2,2,5,4,4,3,2,2,1,3,2,2,2,3,3,3,2,1,1,3.666666667,2.5,3.666666667,1.666666667,2.25,3,1.333333333
12,1,84,3,2,3,2,2,5,76,3,4,2,5,4,4,3,4,4,4,3,3,3,2,2,2,2,2,2,1,3,3,3,1,1,1,4.333333333,3.75,3,2,1.75,3,1
13,1,84,1,2,3,2,2,2,85,5,7,3,1,5,4,1,3,2,2,4,4,4,2,2,2,3,3,3,2,4,3,3,2,1,1,3.333333333,2,4,2,2.75,3.333333333,1.333333333
14,1,83,1,3,2,2,2,4,55,2,8,2,4,5,5,3,4,4,3,3,4,3,2,2,2,3,3,3,3,3,3,2,2,2,1,4.666666667,3.5,3.333333333,2,3,2.666666667,1.666666667
